province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Bac Lieu,30,21,13,E,0.4,78,56,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248
Bac Lieu,29,22,11,E,0.0,77,25,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Bac Lieu,29,23,9,ESE,16.0,81,70,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Bac Lieu,35,27,12,S,0.0,60,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Bac Lieu,33,27,11,SSE,0.9,66,49,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Bac Lieu,33,28,12,SW,2.3,66,50,1008,2021-04-22,1.25,1.0,0.5
Bac Lieu,31,26,16,SW,7.2,80,57,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Bac Lieu,32,27,10,SW,0.9,77,40,1008,2020-09-11,19.55,8.0,19.782848912912186
Bac Lieu,30,22,7,SW,0.0,78,24,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Bac Lieu,28,23,23,ENE,4.7,83,73,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722
Bac Lieu,27,21,19,E,8.0,90,80,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Ho Chi Minh City,32,24,8,ESE,0.0,68,43,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ho Chi Minh City,32,23,8,SSE,0.0,67,8,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Ho Chi Minh City,25,18,5,SE,31.5,90,84,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Ho Chi Minh City,34,27,12,SSE,8.0,65,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Ho Chi Minh City,34,28,8,S,12.3,65,73,1008,2021-04-22,1.25,1.0,0.5
Ho Chi Minh City,37,27,13,SSE,0.0,56,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Ho Chi Minh City,29,26,14,SW,20.0,83,77,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Ho Chi Minh City,33,27,10,S,11.3,75,56,1007,2020-09-11,19.55,8.0,19.782848912912186
Ho Chi Minh City,33,23,6,S,0.0,70,12,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Ho Chi Minh City,30,24,5,SSE,6.5,80,62,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Ho Chi Minh City,31,24,10,SE,2.4,75,61,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Tam Ky,21,15,12,SW,56.1,95,100,1016,2021-01-04,17.157894736842106,15.0,15.22128673893248
Tam Ky,22,16,8,S,0.0,81,38,1014,2021-01-15,25.104347826086958,22.0,20.714167502377503
Tam Ky,24,20,8,SSW,1.6,89,78,1013,2021-01-23,8.272727272727273,1.0,8.77600033148255
Tam Ky,32,24,12,SE,0.1,71,25,1003,2021-03-31,22.32967032967033,21.0,19.805192890897718
Tam Ky,29,22,11,SE,0.0,79,9,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Tam Ky,30,24,12,SE,1.6,82,36,1008,2021-04-22,1.25,1.0,0.5
Tam Ky,33,27,6,SSW,0.2,71,56,1003,2020-08-03,19.96718651044965,20.0,11.491157496711356
Tam Ky,32,25,10,SE,3.6,78,46,1007,2020-09-11,19.55,8.0,19.782848912912186
Tam Ky,24,18,20,ENE,70.9,90,100,1016,2020-12-01,47.707692307692305,49.0,5.962704600585722
Tam Ky,21,20,11,NW,23.8,91,98,1017,2020-12-06,44.54545454545455,47.0,10.985113894390322
Tam Ky,22,14,10,SW,37.0,95,100,1013,2020-12-24,19.950819672131146,9.0,24.22955937014749
Ben Tre,32,21,7,SSW,0.1,76,41,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ben Tre,25,23,5,ESE,3.0,92,67,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Ben Tre,31,21,6,ESE,0.0,74,15,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Ben Tre,39,26,9,SSE,0.0,59,13,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
